Summary,Issue Type,Epic Name,Epic Link,Description,Priority,Labels,Components
Grafana & Alerts: Dashboard panels + PagerDuty alerts,Task,,Sprint 6 – Preference Extraction,"Create panels for prefs coverage, latency, contradictions, apply rate. Alerts:
- High latency
- Zero apply rate
- Spike in contradictions
Acceptance:
- Panels committed to grafana/ JSON
- Alerts tested in staging",Medium,"grafana,alerts",observability
Frontend: Preference chips in chat header with 'Edit' and 'Pause',Story,,Sprint 6 – Preference Extraction,"Show active preferences as chips; 'Edit' opens modal to change values; per-thread 'Pause personalization' toggle.
Acceptance:
- Chips reflect applied prefs from context
- Toggle disables pre-filtering for the thread
- Unit tests for UI state",High,"frontend,ui,preferences",frontend
Frontend: 'Why' note acknowledgment in agent replies,Task,,Sprint 6 – Preference Extraction,"Render concise 'why' note (source precedence) in the chat bubble/aux line.
Acceptance:
- Notes visible when prefs applied
- No layout regressions",Medium,"frontend,ux",frontend
QA: Build 100‑message eval dataset + accuracy harness,Story,,Sprint 6 – Preference Extraction,"Curate 100 real/seed messages; gold labels for prefs. Add harness to compute extraction accuracy and report (target ≥90%).
Acceptance:
- Dataset versioned
- Report artifact attached to CI",High,"qa,eval,accuracy",assistant-backend
Perf: TTFB regression guard (<+100ms),Task,,Sprint 6 – Preference Extraction,"Add benchmark to ensure pre-filtering & context injection do not add >100ms to p95 TTFB.
Acceptance:
- CI perf check passes
- Baseline recorded in docs",Medium,"performance,ci",assistant-backend
Feature flags & config for Sprint 6,Task,,Sprint 6 – Preference Extraction,"Add flags: PREFS_EXTRACT_ENABLED, PREFS_APPLY_ENABLED, PREFS_UI_ENABLED. Document env defaults and runbook entries.",High,"feature-flags,config",infra
Rollout: Write‑only dark launch (staging),Task,,Sprint 6 – Preference Extraction,Enable extraction & persistence; keep apply off. Validate metrics/logs; no user-visible changes.,High,"rollout,staging",infra
Rollout: Read canary (staging),Task,,Sprint 6 – Preference Extraction,"Enable apply for small cohort; verify accuracy ≥90%, no TTFB regression; UI chips render correctly.",High,"rollout,staging",infra
Rollout: Production canary 10% + watch,Task,,Sprint 6 – Preference Extraction,Enable apply for 10% traffic; watch metrics for 24h; PageDuty alerts armed.,High,"rollout,prod",infra
Rollout: 100% enable + docs,Task,,Sprint 6 – Preference Extraction,Ramp to 100%; finalize docs; close Sprint 6 with metrics screenshots and acceptance report.,High,"rollout,prod,docs","infra,observability"
